regulator,coef_tumor,sem_tumor
NCAPG2,0.0039027134340217,0.0002207713523752
USP18,0.0038957279023739,0.000237055230926
CAD,0.0038936457015445,0.0001587994344835
YBX1,0.0038667179848707,0.0001721219273079
CCDC138,0.0038498123931692,0.0001348786121043
UBE2B,0.0038349307586544,0.0001525419088159
TIAM1,0.0038235397537034,0.0002426014109257
SIN3B,0.0038164497510469,0.0005129013379667
MTERF2,0.0038133728835392,6.630267500648792e-05
NOL12,0.0038044568921108,0.000199877520885
SRD5A3,0.0038019363314993,0.0001258685666844
ACTR3,0.0037942832617051,0.0001267941610016
SPTBN1,0.003772944931873,0.0001934838453564
FBXW2,0.0037680381582614,0.0003065808096342
CLUH,0.0037458723707842,0.0003703165649241
GZMB,0.0037419264652522,0.0003520097303352
CYLD,0.0037184950611258,0.0002065491608467
C1orf216,0.003711017535573,0.000244450019165
VPS39,0.0036976898476234,0.0001365866462655
PDHA1,0.0036954960512869,0.0002637113538865
TGDS,0.0036951838917167,0.0001608230308658
EMC3,0.0036856587741959,0.0003181830261883
CD9,0.0036832476044773,0.0001046082528404
EDRF1,0.0036657092239642,0.0002943550983034
PARP9,0.0036453315773516,0.0002680274784148
RBM10,0.0036402642705798,0.0003641311681779
GARS1,0.003634360679379,0.0002114183965321
RMI1,0.0036124374438688,0.0001621712229782
FBXW7,0.0036030156163486,0.0001824802723823
SAXO4,0.0035967119754044,0.0002666127354071
SP8,0.0035663676698448,0.0002264555666149
MTHFD1,0.0035541809115397,0.0002328303572601
TASP1,0.0035464002800358,0.0001480035026889
C1orf43,0.0035358135605222,0.0003719807821062
NDOR1,0.0035345232319375,0.0002470536249899
ZNF470,0.0035304965396957,7.190301568049673e-05
ZPR1,0.0035266736861924,7.350707592534904e-05
METTL14,0.0034938116545321,0.000344399196273
ATP1B3,0.0034894917658693,0.0002972932638738
B4GALNT3,0.0034819066342204,0.0001562437933336
REXO5,0.0034741448420163,0.0003005209275691
UBL3,0.00346826440119,0.0001616162253009
ITM2B,0.0034480309183183,0.000260582638121
ARL4D,0.0034410568714905,0.00025415696439
B3GAT2,0.0034343661800562,0.0002097257865442
SREK1IP1,0.003426266869051,0.0003744940087217
PTPA,0.003418913265507,0.000460445195797
PUDP,0.0033995429026871,0.0001998343273737
KRBA2,0.0033974897644134,9.355937071005448e-05
PTF1A,0.0033903668897239,0.0003173989625416
SNX4,0.0033771479628159,0.0002805471232158
EIF4B,0.0033662098359813,0.0002972917105941
TMEM131,0.0033509374767106,0.0002195930577275
C10orf88,0.0033376518292792,0.0002023389484855
ZNF189,0.0033355396066787,0.0001705194720633
IMMP1L,0.00333450484053,0.0001131245417428
PKM,0.0033245382679069,0.0001466295667838
LARS2,0.0032986387976686,0.0001393648000082
TXLNB,0.0032924630992737,0.0002986517660805
ICOS,0.0032910229149571,0.0001762874727747
GNB1L,0.0032902564752331,0.0001901432352101
COMMD10,0.0032810751064639,0.000284181741268
HCCS,0.0032655282037598,0.0003859023550056
NAA35,0.0032619674343408,0.0003032948904179
NUP42,0.0032600911061142,0.0002437627988228
MOV10,0.0032575185978055,0.0001791101492874
C3orf18,0.0032571259099783,0.0001906850630105
SMARCA4,0.0032256043810379,0.0001345691486246
TBRG1,0.0032202093847456,0.0005438997164051
PDPK1,0.0032173040174333,0.0003396830272698
TMEM185A,0.0032155460559221,0.0002271321927476
DDRGK1,0.0032145557113043,0.0001924542028357
IFI30,0.003210518682026,0.0004490945304836
SNX1,0.0032097658512741,0.000287388219137
POMGNT1,0.0032070023245822,0.0002943001479008
BRPF1,0.0031979880488771,0.0002084663717618
HIVEP3,0.0031810673491799,0.0002216286886973
UBA5,0.0031663860553328,0.000157716089941
ATG12,0.0031588266474714,0.0002258584635276
RWDD2B,0.0031518993316411,7.631680230596566e-05
TADA3,0.0031455953024207,0.0003133213659221
RABIF,0.0031372795225929,0.000118711480612
ACAD11,0.0031346518166874,0.0002923797913602
ZNF274,0.0031339850566672,0.0003557654953444
SPSB3,0.0031285706281526,0.000143674069672
FOXK1,0.0031150456971795,0.0002649975945837
CSNK1D,0.0031145051026146,0.0001462536676154
DNAH3,0.0031122818720618,0.0001382445518292
KMT2C,0.0031038145039859,0.0004265697941671
TBC1D31,0.0031007044589454,0.0001145694520847
LRRC8A,0.0030983086328907,0.000143769851726
SBF1,0.0030973400368971,0.0001460476220642
SSR1,0.0030969057016933,0.000375565275753
GABPA,0.0030893296050302,0.0001165528302653
LRP2BP,0.00308905788467,0.0002129911456216
EIF2AK4,0.0030683620273922,0.0001888305799613
SLC5A6,0.0030536194394616,0.0002190759504354
TSC1,0.0030523381914719,0.0002279980113914
VHL,0.0030496561253336,0.0003478298902231
FOXQ1,0.0030460677998518,0.0003240930630057
NLRX1,0.0030337143493441,0.0001967924952059
ACTR2,0.003033342191858,0.0003452435598658
VPS45,0.0030324078327672,0.0003078756147772
HCN2,0.0030256340931112,0.0002650907515726
BBS10,0.0030145927270067,0.0001151767104014
DNAJC3,0.0030123038405426,0.0004841475926867
DNAJB9,0.0030107396836231,0.0002173884024903
C14orf119,0.0030107044543618,0.0001058612034213
FANCB,0.0030040974771724,0.0002307039487218
DCAKD,0.0029968336988134,0.0002011143982944
TIMM9,0.0029953438085578,0.0004717096206164
CBX3,0.0029933417677466,0.0001100231646087
MTG1,0.0029930686292923,0.0001185946656198
LDLR,0.0029867474539166,0.0002534021412321
WDR18,0.0029739318622901,0.0002549304168187
TAF5L,0.0029625366169585,8.974669977182037e-05
UBA2,0.0029526644201762,0.0003461098289939
HPS1,0.0029474239596807,0.0002892217381012
ARMC8,0.0029218743759466,0.0002105580168705
RMC1,0.0029197823796635,0.0002264974506566
