gene,z_discovery_tumor,log2FC_tumor,lfcSE_tumor,padj_tumor,z_tumor_splitA,z_tumor_splitB
ESCO2,3.357628600210795,1.5400145246159282,0.4586613672873899,0.0352806260950536,3.1615319567593136,1.4778065741988835
ASF1B,3.3509400431036056,1.7427683865581116,0.5200834285724724,0.0357996636521584,4.017316119834306,0.6754746448381539
AK2,3.3490870652893694,0.3645187824899011,0.1088412380400166,0.0359259032248402,4.353791440368299,0.5199688955083593
CKS1B,3.346904757983085,0.8058649718601805,0.2407791766222267,0.0360784309026159,3.8463437898719497,0.6169064703445107
C5orf30,3.3461641496401686,1.5818697826376191,0.4727412379956692,0.0360784309026159,3.334584440095916,1.687468586537105
MRPL51,3.33732070492284,0.4682031394008803,0.1402931215781089,0.0369622931905618,2.950334722018048,1.6766629986303103
BRK1,3.333506935447452,0.2519827534665977,0.0755908892185263,0.0372139077647391,2.64757647897376,2.2115489284609
ATP5H,3.332780594220049,0.4473287505421099,0.134220881902007,0.0372139077647391,2.944281084814819,1.4925326403059915
SMIM12,3.3303033441436254,0.5960882266779232,0.178989168577136,0.0372139077647391,1.9704063064117368,2.998487876791008
PGD,3.329002083144124,0.46781009796459,0.1405256248811836,0.0372139077647391,3.397114714293694,1.296787235268358
SLC25A1,3.3289488388993007,0.715718913357575,0.2149984718882683,0.0372139077647391,3.652058500197213,0.9036124953456176
BLOC1S1,3.324841284664746,0.5009167423166339,0.1506588433640503,0.0374369288197171,2.455517627822076,2.5109845243461018
